"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-4.71108519131319,2.56263089873583
2001-01-02 12:00:00,2001,1,2,NA,-3.58433260071284,1.11491849000664
2001-01-03 12:00:00,2001,1,3,NA,-3.56463226570015,1.07403961978234
2001-01-04 12:00:00,2001,1,4,NA,-1.4963822217056,-0.0401922094078566
2001-01-05 12:00:00,2001,1,5,NA,-3.433776919294,0.39060233637521
2001-01-06 12:00:00,2001,1,6,NA,-4.53039572099487,1.62912147963879
2001-01-07 12:00:00,2001,1,7,NA,-4.07058359328047,7.57830136083014
2001-01-08 12:00:00,2001,1,8,NA,-1.7888007329883,4.42510280828164
2001-01-09 12:00:00,2001,1,9,NA,1.6958925177643,4.66979762781711
2001-01-10 12:00:00,2001,1,10,NA,4.33231926647862,6.66655125991973
2001-01-11 12:00:00,2001,1,11,NA,4.58657104006359,7.06830697379095
2001-01-12 12:00:00,2001,1,12,NA,1.38614802653695,4.13788339048936
2001-01-13 12:00:00,2001,1,13,NA,-2.17699232344884,2.0787038575022
2001-01-14 12:00:00,2001,1,14,NA,0.82166839838649,13.5368916758413
2001-01-15 12:00:00,2001,1,15,NA,6.0846743425807,19.8605771277963
2001-01-16 12:00:00,2001,1,16,NA,6.05020941321193,17.1449509102349
2001-01-17 12:00:00,2001,1,17,NA,4.74534940558631,16.7667868952421
2001-01-18 12:00:00,2001,1,18,NA,6.14942741218715,18.4560122922469
2001-01-19 12:00:00,2001,1,19,NA,5.08230918006944,15.8056613782375
2001-01-20 12:00:00,2001,1,20,NA,2.07178891550115,15.3660873324347
2001-01-21 12:00:00,2001,1,21,NA,0.436180071521721,11.2586779581629
2001-01-22 12:00:00,2001,1,22,NA,-0.754026865693485,9.66457502937346
2001-01-23 12:00:00,2001,1,23,NA,0.283057657511204,9.53115555106276
2001-01-24 12:00:00,2001,1,24,NA,0.305390833303045,10.5819182735465
2001-01-25 12:00:00,2001,1,25,NA,-0.944841169623644,11.2707505774354
2001-01-26 12:00:00,2001,1,26,NA,-2.29462014401644,11.2331209957534
2001-01-27 12:00:00,2001,1,27,NA,-2.36509258089047,10.2012185258714
2001-01-28 12:00:00,2001,1,28,NA,6.21839894860954,8.55383047401246
2001-01-29 12:00:00,2001,1,29,NA,3.79643273974482,13.1968011081616
2001-01-30 12:00:00,2001,1,30,NA,-1.75543627516359,11.4078664160683
2001-01-31 12:00:00,2001,1,31,NA,-4.14065416407187,8.26236657871184
2001-02-01 12:00:00,2001,2,1,NA,-4.13558141839948,9.46371798018986
2001-02-02 12:00:00,2001,2,2,NA,-1.07381405129392,10.6600197313356
2001-02-03 12:00:00,2001,2,3,NA,-3.7806018292263,14.918192276477
2001-02-04 12:00:00,2001,2,4,NA,0.639471687984004,19.3382657936873
2001-02-05 12:00:00,2001,2,5,NA,2.79452069023434,20.9437122042113
2001-02-06 12:00:00,2001,2,6,NA,2.09153959550357,20.1632180536481
