"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,1.4995727082128e-05,0
10,-10,-4,6.98467716818035e-05,0
10,-10,-3,0.000325168129394871,0
10,-10,-2,0.00150468957181552,0
10,-10,-1,0.00686663184459349,0
10,-10,0,0.0301554765778455,0
10,-10,1,0.116849415395067,0
10,-10,2,0.322887456984278,0
10,-10,3,0.525152385103832,0
10,-10,4,0.556398956548557,0
10,-10,5,0.579772547454739,0.236100166958909
10,-10,6,0.60304492130373,1.28478028839645
10,-10,7,0.604631435620864,3.42442909965783
10,-10,8,0.626657338874187,6.77436499771815
10,-10,9,0.623877363313696,11.388026442768
10,-10,10,0.631583679458865,17.2385729569638
10,-10,11,0.634044280429158,24.2827434020755
10,-10,12,0.626340046491861,32.435428662451
10,-10,13,0.602941091373815,41.5734857514084
10,-10,14,0.598420479959005,51.5456712998727
10,-10,15,0.581937373408531,62.1950566572138
10,-10,16,0.553608784109526,73.3438559943971
10,-10,17,0.529844655856467,84.8064085707805
10,-10,18,0.486919581623943,96.3929282937332
10,-10,19,0.452498318646974,107.908979535454
10,-10,20,0.464025492577427,119.163452219324
10,-10,21,0.341210507067392,129.975564284801
10,-10,22,0.221399191378519,140.176278941424
10,-10,23,0.107254442792487,149.611856961745
10,-10,24,0.0125272029961572,158.141082567357
10,-10,25,0,165.643801822809
10,-10,26,0,167.464233095885
10,-10,27,0,164.514395003333
10,-10,28,0,159.212526209918
10,-10,29,0,152.605399303265
10,-10,30,0,144.51147636272
10,-9,-5,1.61442382743496e-05,0
10,-9,-4,7.3615783700449e-05,0
10,-9,-3,0.000338435529843296,0
10,-9,-2,0.00155360451826039,0
10,-9,-1,0.00705221836411812,0
10,-9,0,0.0308622728053818,0
10,-9,1,0.119384135645737,0
10,-9,2,0.33012396226582,0
10,-9,3,0.535571957493635,0
10,-9,4,0.565887966295675,0
10,-9,5,0.594234433258902,0.244679769182661
10,-9,6,0.619659522118998,1.32695275295311
10,-9,7,0.618902815756784,3.53129537460074
10,-9,8,0.63916898605366,6.97450118357798
10,-9,9,0.630749528657367,11.7017079391691
10,-9,10,0.648205104461086,17.6873512333372
10,-9,11,0.643158574090965,24.8870505459653
10,-9,12,0.634885380538618,33.2070505615695
10,-9,13,0.621044742602823,42.5145922387939
10,-9,14,0.613960662389556,52.6650378195161
10,-9,15,0.581884789687629,63.4934923968888
10,-9,16,0.558595215257899,74.8199906297693
10,-9,17,0.52167974955655,86.4575731515884
10,-9,18,0.489655961187097,98.2101420105894
10,-9,19,0.450527862125496,109.881099434667
10,-9,20,0.475437305576462,121.280759800466
10,-9,21,0.363867133171443,132.228098167153
10,-9,22,0.228197424981582,142.552446861429
10,-9,23,0.121044780459232,152.094332177319
10,-9,24,0.0327963683167754,160.712728626852
10,-9,25,0,168.287531450546
10,-9,26,0,170.083299340958
10,-9,27,0,167.081261393128
10,-9,28,0,161.728351098739
10,-9,29,0,155.037402644431
10,-9,30,0,146.731269222098
10,-8,-5,1.80859605529991e-05,0
10,-8,-4,7.92411771657271e-05,0
10,-8,-3,0.000356614662248861,0
10,-8,-2,0.00161657902128853,0
10,-8,-1,0.00727941820847834,0
10,-8,0,0.0316895569358027,0
10,-8,1,0.122214568605713,0
10,-8,2,0.337781727755818,0
10,-8,3,0.54585023120074,0
10,-8,4,0.575854699474389,0
10,-8,5,0.605483818542675,0.254131751306061
10,-8,6,0.629744965711706,1.37447939079368
10,-8,7,0.631823131679076,3.64829659709656
10,-8,8,0.647405695443188,7.19291914305844
10,-8,9,0.647642834903524,12.0404766666535
10,-8,10,0.658047164108892,18.1745797042904
10,-8,11,0.653401222756032,25.5404481937592
10,-8,12,0.640125732711142,34.033991544791
10,-8,13,0.638583524320381,43.5238751118052
10,-8,14,0.618700586346568,53.8626944168429
10,-8,15,0.585544253751818,64.8802281531296
10,-8,16,0.559027416814842,76.3959255851182
10,-8,17,0.531903989129487,88.215761812154
10,-8,18,0.50220663786402,100.141188542786
10,-8,19,0.469757442485982,111.976867833727
10,-8,20,0.469631005535257,123.532839197376
10,-8,21,0.353962616601103,134.623840091793
10,-8,22,0.23671825593181,145.074759645132
10,-8,23,0.135579330947416,154.725829184575
10,-8,24,0.0456684268740722,163.437160131627
10,-8,25,0,171.093172439577
10,-8,26,0,172.87180774692
10,-8,27,0,169.813955304572
10,-8,28,0,164.400567217146
10,-8,29,0,157.578580095348
10,-8,30,0,149.08032350815
10,-7,-5,2.20131456863033e-05,0
10,-7,-4,8.87805800769398e-05,0
10,-7,-3,0.000383842022925111,0
10,-7,-2,0.00170315778321228,0
10,-7,-1,0.00757253266826425,0
10,-7,0,0.0327004721837819,0
10,-7,1,0.125473407904153,0
10,-7,2,0.346112752154542,0
10,-7,3,0.555973248744579,0
10,-7,4,0.586180662136862,0
10,-7,5,0.606827793009371,0.264585917214702
10,-7,6,0.639995185662137,1.42815688678281
10,-7,7,0.647459395887464,3.77810827934564
10,-7,8,0.657000610269405,7.43158355758186
10,-7,9,0.665300744835182,12.4114807123664
10,-7,10,0.66839703762822,18.7057534897638
10,-7,11,0.659698674195862,26.2475345419717
10,-7,12,0.65533877919382,34.9250879775718
10,-7,13,0.646067743811259,44.6107666093174
10,-7,14,0.61083449366034,55.1488550540215
10,-7,15,0.586697544127181,66.3688055935582
10,-7,16,0.565140646411012,78.0825144136687
10,-7,17,0.546366083864804,90.093160603059
10,-7,18,0.512312166253077,102.203284559411
10,-7,19,0.482041258703666,114.216797283842
10,-7,20,0.459850683489721,125.937159520932
10,-7,21,0.350172096052586,137.176096471018
10,-7,22,0.246527948107639,147.758136505697
10,-7,23,0.133223505573174,157.526734057907
10,-7,24,0.0535314067600361,166.343824233172
10,-7,25,0,174.086563832386
10,-7,26,0,175.840695121409
10,-7,27,0,172.718585872287
10,-7,28,0,167.240025444857
10,-7,29,0,160.271830106292
10,-7,30,0,151.588251541016
10,-6,-5,3.18593801014202e-05,0
10,-6,-4,0.000108090610920164,0
10,-6,-3,0.000430125599660183,0
10,-6,-2,0.00183314079816081,0
10,-6,-1,0.00797599127429215,0
10,-6,0,0.0339987047951084,0
