"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-3.94715835378975,8.25567216143823
2001-01-02 12:00:00,2001,1,2,NA,-4.92490978444886,7.07076828900836
2001-01-03 12:00:00,2001,1,3,NA,-1.96860067479551,6.92128236481497
2001-01-04 12:00:00,2001,1,4,NA,-5.39959021020194,7.89753791632847
2001-01-05 12:00:00,2001,1,5,NA,-5.27598752712795,10.3225837820445
2001-01-06 12:00:00,2001,1,6,NA,-4.06588037646026,9.82172233880787
2001-01-07 12:00:00,2001,1,7,NA,-3.40040210190545,12.8082523736594
2001-01-08 12:00:00,2001,1,8,NA,-3.55253326966634,11.4337315969823
2001-01-09 12:00:00,2001,1,9,NA,-1.38965531368306,11.023832266638
2001-01-10 12:00:00,2001,1,10,NA,-1.18855582139722,14.912968708847
2001-01-11 12:00:00,2001,1,11,NA,-0.296795553507502,15.2794623889087
2001-01-12 12:00:00,2001,1,12,NA,-4.51314584599393,14.5732627010296
2001-01-13 12:00:00,2001,1,13,NA,-6.42655263052985,14.7508581484394
2001-01-14 12:00:00,2001,1,14,NA,7.35072576288136,15.7452109749387
2001-01-15 12:00:00,2001,1,15,NA,8.6817653969649,22.0512675095325
2001-01-16 12:00:00,2001,1,16,NA,6.32067894172698,20.9177361229786
2001-01-17 12:00:00,2001,1,17,NA,4.24613142962385,18.7543327250824
2001-01-18 12:00:00,2001,1,18,NA,14.1643784434692,16.9389046902932
2001-01-19 12:00:00,2001,1,19,NA,5.41017705596413,15.8905098252196
2001-01-20 12:00:00,2001,1,20,NA,7.37386636015311,10.6523130879621
2001-01-21 12:00:00,2001,1,21,NA,3.42982880885542,5.7004253767902
2001-01-22 12:00:00,2001,1,22,NA,-0.230756545308959,3.65058753029954
2001-01-23 12:00:00,2001,1,23,NA,-1.85608952973714,4.37359072178762
2001-01-24 12:00:00,2001,1,24,NA,-1.4003721890934,5.81101552643159
2001-01-25 12:00:00,2001,1,25,NA,-0.666430794421193,4.37525046177837
2001-01-26 12:00:00,2001,1,26,NA,-5.48221885245899,5.50399940021322
2001-01-27 12:00:00,2001,1,27,NA,-5.74100192232132,3.68405299219401
2001-01-28 12:00:00,2001,1,28,NA,-4.60901612759055,6.58154150605225
2001-01-29 12:00:00,2001,1,29,NA,-2.56418235526414,11.3407909825171
2001-01-30 12:00:00,2001,1,30,NA,-5.99787545331648,8.52253779274885
2001-01-31 12:00:00,2001,1,31,NA,-9.04090448039361,5.37982866531137
2001-02-01 12:00:00,2001,2,1,NA,-9.10139746700001,7.77372632070267
2001-02-02 12:00:00,2001,2,2,NA,-8.11186843410718,13.5079303064869
2001-02-03 12:00:00,2001,2,3,NA,-7.11999350650508,13.3302302793833
2001-02-04 12:00:00,2001,2,4,NA,-2.53466381406433,16.7330735488834
2001-02-05 12:00:00,2001,2,5,NA,1.23022041687955,17.2420197069848
2001-02-06 12:00:00,2001,2,6,NA,-1.11414343439141,16.5596078328258
2001-02-07 12:00:00,2001,2,7,NA,0.0225753114375458,13.8167886687169
2001-02-08 12:00:00,2001,2,8,NA,-1.24578694159022,13.178807632892
2001-02-09 12:00:00,2001,2,9,NA,-6.1570511254207,15.8964522776826
2001-02-10 12:00:00,2001,2,10,NA,-4.51183038527323,14.8024443379241
2001-02-11 12:00:00,2001,2,11,NA,5.24101562717068,14.6772742663104
2001-02-12 12:00:00,2001,2,12,NA,5.37587703795731,11.4294061005973
2001-02-13 12:00:00,2001,2,13,NA,4.40386463218091,13.7555252366673
2001-02-14 12:00:00,2001,2,14,NA,2.74695875663019,16.1036534928739
2001-02-15 12:00:00,2001,2,15,NA,4.46418519513009,16.5716512270011
2001-02-16 12:00:00,2001,2,16,NA,1.46617372854888,17.9501303344118
2001-02-17 12:00:00,2001,2,17,NA,8.01272669180799,15.1719661683541
2001-02-18 12:00:00,2001,2,18,NA,-2.78640483843621,13.3161272562925
2001-02-19 12:00:00,2001,2,19,NA,1.41075578081628,10.2630597447283
2001-02-20 12:00:00,2001,2,20,NA,0.713708731213168,13.9956866075801
2001-02-21 12:00:00,2001,2,21,NA,-1.46492731878691,12.8808379620552
2001-02-22 12:00:00,2001,2,22,NA,-1.6729435605706,12.1275469752464
2001-02-23 12:00:00,2001,2,23,NA,-1.80116731991279,13.1633555864267
2001-02-24 12:00:00,2001,2,24,NA,-0.925694270685429,14.9987158554686
2001-02-25 12:00:00,2001,2,25,NA,-1.13115631094607,15.0449780994858
2001-02-26 12:00:00,2001,2,26,NA,-1.16576115216666,16.4099656669316
2001-02-27 12:00:00,2001,2,27,NA,-0.963413622133049,15.0573213850362
2001-02-28 12:00:00,2001,2,28,NA,9.93624686142605,11.6000227933831
2001-03-01 12:00:00,2001,3,1,NA,6.72280733909312,11.1830357146073
2001-03-02 12:00:00,2001,3,2,NA,8.73279726050484,10.3922837137017
2001-03-03 12:00:00,2001,3,3,NA,-0.14721746393671,14.1866462928548
2001-03-04 12:00:00,2001,3,4,NA,-0.309731247699493,15.0471188154526
2001-03-05 12:00:00,2001,3,5,NA,2.92174960922146,11.6308651678306
2001-03-06 12:00:00,2001,3,6,NA,-0.364801568419376,16.0985239723924
2001-03-07 12:00:00,2001,3,7,NA,0.921010811345987,18.4779099826948
2001-03-08 12:00:00,2001,3,8,NA,0.043118547915439,18.102676361911
2001-03-09 12:00:00,2001,3,9,NA,0.314291729540136,17.7643413309537
2001-03-10 12:00:00,2001,3,10,NA,0.8018916389099,18.2177493775917
2001-03-11 12:00:00,2001,3,11,NA,-1.38495728932025,18.872696797641
2001-03-12 12:00:00,2001,3,12,NA,-1.34017635558711,18.0442279953921
2001-03-13 12:00:00,2001,3,13,NA,0.367906528512501,15.6981853089221
2001-03-14 12:00:00,2001,3,14,NA,1.91880078299046,16.6594441316667
2001-03-15 12:00:00,2001,3,15,NA,1.27799789280387,16.0766763621535
2001-03-16 12:00:00,2001,3,16,NA,1.65327889619873,17.6139622124023
2001-03-17 12:00:00,2001,3,17,NA,2.90665502231108,16.123055735288
2001-03-18 12:00:00,2001,3,18,NA,1.05344127580153,15.2228519698941
2001-03-19 12:00:00,2001,3,19,NA,-3.4989439530332,15.2015337761311
2001-03-20 12:00:00,2001,3,20,NA,0.35717383065613,15.7949791239864
2001-03-21 12:00:00,2001,3,21,NA,0.720025570889641,15.5870988460745
2001-03-22 12:00:00,2001,3,22,NA,1.75896320487547,15.442598613261
2001-03-23 12:00:00,2001,3,23,NA,4.83464336696094,12.7847989303178
2001-03-24 12:00:00,2001,3,24,NA,3.76667123174256,15.2875009489649
2001-03-25 12:00:00,2001,3,25,NA,1.34872124014738,14.4306278536946
2001-03-26 12:00:00,2001,3,26,NA,0.151810194522822,12.8105400421948
2001-03-27 12:00:00,2001,3,27,NA,-0.68425710214587,13.949539125222
2001-03-28 12:00:00,2001,3,28,NA,-1.08376072272906,15.3795648180827
2001-03-29 12:00:00,2001,3,29,NA,-2.60180341411569,14.7438820852247
2001-03-30 12:00:00,2001,3,30,NA,-0.637863500895367,15.2679035780682
2001-03-31 12:00:00,2001,3,31,NA,-1.99008937541633,16.199360577812
2001-04-01 12:00:00,2001,4,1,NA,-1.76506002483362,18.5313510067849
